gm_naam,gwb_code_10,gwb_code_8,regio,recs,gwb_code,a_inw,a_man,p_man,a_vrouw,p_vrouw,a_00_14,p_00_14,a_15_24,p_15_24,a_25_44,p_25_44,a_45_64,p_45_64,a_65_oo,p_65_oo,a_ongeh,p_ongeh,a_gehuwd,p_gehuwd,a_gesch,p_gesch,a_verwed,p_verwed,a_w_all,p_w_all,a_nw_all,p_nw_all,a_marok,p_marok,a_antaru,p_antaru,a_suri,p_suri,a_tur,p_tur,a_ov_nw,p_ov_nw,a_hh,a_1p_hh,p_1p_hh,a_hh_z_k,p_hh_z_k,a_hh_m_k,p_hh_m_k,g_hhgro,bev_dich,a_woning,g_woz,p_1gezw,p_mgezw,p_bjj2k,p_bjo2k,a_bedv,a_bed_a,a_bed_bf,a_bed_gi,a_bed_hj,a_bed_kl,a_bed_mn,a_bed_ru,a_pau,a_lftj6j,a_lfto6j,a_bst_b,a_bst_nb,g_pau_hh,g_pau_km,a_bau,a_m2w,a_opp_ha,a_lan_ha,a_wat_ha,ste_mvs,ste_oad
Weesp,GM0457,457,Weesp,Gemeente,GM0457,18572,8959,48.2,9613,51.8,3045,16.4,1847,9.9,4588,24.7,5505,29.6,3587,19.3,8791,47.3,7190,38.7,1543,8.3,1048,5.6,2053,11.1,2758,14.9,1052,5.7,101,0.5,297,1.6,351,1.9,957,5.2,8688,3425,39.4,2486,28.6,2777,32,2.1,815,8644,224,50,50,93,7,2020,40,300,430,195,215,590,240,7725,2480,5245,6445,1280,0.9,339,920,580,2416,2280,136,2,1698
Zandvoort,GM0473,473,Zandvoort,Gemeente,GM0473,16792,8095,48.2,8697,51.8,2229,13.3,1573,9.4,3516,20.9,5151,30.7,4323,25.7,7444,44.3,6228,37.1,1940,11.6,1180,7,2257,13.4,1220,7.3,159,0.9,84,0.5,136,0.8,98,0.6,743,4.4,8325,3569,42.9,2364,28.4,2392,28.7,2,523,9450,251,47,53,91,9,1810,0,245,495,125,205,480,255,7555,2325,5230,6685,870,0.9,235,670,660,4397,3211,1186,2,1779
Zaanstad,GM0479,479,Zaanstad,Gemeente,GM0479,152466,75344,49.4,77122,50.6,26016,17.1,17490,11.5,39569,26,42634,28,26757,17.5,72669,47.7,58955,38.7,13386,8.8,7456,4.9,14944,9.8,30232,19.8,3717,2.4,1074,0.7,5452,3.6,11659,7.6,8330,5.5,68240,24146,35.4,18616,27.3,25478,37.3,2.2,2064,66961,174,64,36,83,17,11575,95,2630,2485,1070,1030,2805,1465,62555,18970,43585,53550,9005,0.9,847,7190,6950,8324,7387,936,2,1985
Alblasserdam,GM0482,482,Alblasserdam,Gemeente,GM0482,19955,9771,49,10184,51,3991,20,2398,12,4693,23.5,5032,25.2,3841,19.2,8473,42.5,9173,46,1154,5.8,1155,5.8,1334,6.7,1373,6.9,150,0.8,115,0.6,99,0.5,561,2.8,448,2.2,8044,2335,29,2465,30.6,3244,40.3,2.5,2270,8220,194,68,32,83,17,1585,10,305,400,180,195,370,130,8800,3110,5690,7415,1385,1.1,1001,1450,535,1006,879,127,3,1497
Alphen aan den Rijn,GM0484,484,Alphen aan den Rijn,Gemeente,GM0484,107960,53624,49.7,54336,50.3,18863,17.5,12668,11.7,26622,24.7,30860,28.6,18947,17.6,49556,45.9,45876,42.5,7631,7.1,4897,4.5,9303,8.6,10668,9.9,3094,2.9,799,0.7,1465,1.4,1019,0.9,4291,4,46088,14528,31.5,14336,31.1,17224,37.4,2.3,854,45968,214,67,33,88,12,9250,800,1435,1905,775,910,2435,990,56490,23570,32920,44605,11885,1.2,447,7625,4540,13250,12647,603,2,1739
Barendrecht,GM0489,489,Barendrecht,Gemeente,GM0489,47861,23570,49.2,24291,50.8,9523,19.9,5638,11.8,11004,23,14207,29.7,7489,15.6,21530,45,21332,44.6,3061,6.4,1938,4,3683,7.7,6980,14.6,811,1.7,522,1.1,2154,4.5,1280,2.7,2213,4.6,18789,4450,23.7,5724,30.5,8615,45.9,2.5,2412,18918,241,75,25,61,39,4370,35,605,940,455,695,1210,435,22315,10015,12300,18870,3445,1.2,1124,2890,1540,2173,1985,188,2,1644
Drechterland,GM0498,498,Drechterland,Gemeente,GM0498,19400,9811,50.6,9589,49.4,3318,17.1,2310,11.9,4224,21.8,5770,29.7,3778,19.5,8578,44.2,8852,45.6,1091,5.6,879,4.5,1301,6.7,585,3,38,0.2,42,0.2,74,0.4,21,0.1,410,2.1,7977,2177,27.3,2763,34.6,3037,38.1,2.4,329,8107,229,89,11,78,22,1840,265,390,310,115,210,365,185,9415,2695,6720,7610,1805,1.2,160,1780,1140,8059,5895,2164,5,477
Brielle,GM0501,501,Brielle,Gemeente,GM0501,16640,8163,49.1,8477,50.9,2451,14.7,1798,10.8,3613,21.7,5247,31.5,3531,21.2,6635,39.9,7647,46,1425,8.6,933,5.6,1435,8.6,742,4.5,18,0.1,95,0.6,114,0.7,79,0.5,436,2.6,7421,2291,30.9,2570,34.6,2560,34.5,2.2,604,7683,214,81,19,83,17,1360,95,205,325,100,185,280,175,8900,3200,5705,7745,1155,1.2,323,925,725,3114,2754,360,4,846
Capelle aan den IJssel,GM0502,502,Capelle aan den IJssel,Gemeente,GM0502,66486,32152,48.4,34334,51.6,11117,16.7,7681,11.6,16211,24.4,19278,29,12199,18.3,31297,47.1,25788,38.8,5983,9,3418,5.1,7445,11.2,14866,22.4,949,1.4,2422,3.6,4602,6.9,1050,1.6,5843,8.8,30519,11247,36.9,8406,27.5,10866,35.6,2.2,4675,30727,172,45,55,90,10,4980,25,635,1035,580,615,1510,575,29395,11390,18005,25240,4155,1,2067,2280,1805,1540,1422,118,2,2255
Delft,GM0503,503,Delft,Gemeente,GM0503,101034,53938,53.4,47096,46.6,12702,12.6,20494,20.3,28543,28.3,24038,23.8,15257,15.1,58832,58.2,30422,30.1,7614,7.5,4166,4.1,13896,13.8,19283,19.1,1474,1.5,1596,1.6,2346,2.3,2508,2.5,11359,11.2,56904,32092,56.4,12643,22.2,12169,21.4,1.8,4422,49627,180,34,66,89,11,7540,75,960,1450,920,575,2565,995,31935,9390,22545,27540,4395,0.6,1398,2775,2435,2406,2285,121,1,3472
Dordrecht,GM0505,505,Dordrecht,Gemeente,GM0505,118801,58582,49.3,60219,50.7,19605,16.5,14062,11.8,30376,25.6,33483,28.2,21275,17.9,55729,46.9,46518,39.2,10326,8.7,6228,5.2,13335,11.2,21357,18,2779,2.3,2976,2.5,2602,2.2,6636,5.6,6364,5.4,54780,21233,38.8,15040,27.5,18507,33.8,2.1,1511,54853,158,56,44,92,8,8805,90,1430,2210,815,920,2300,1045,54640,22290,32350,43060,11580,1,695,8050,3595,9947,7861,2086,1,2520
Gorinchem,GM0512,512,Gorinchem,Gemeente,GM0512,35260,17367,49.3,17893,50.7,5978,17,4128,11.7,9006,25.5,9884,28,6264,17.8,16170,45.9,14152,40.1,3046,8.6,1892,5.4,3378,9.6,5347,15.2,1738,4.9,200,0.6,336,1,1725,4.9,1348,3.8,15668,5757,36.7,4378,27.9,5533,35.3,2.2,1868,16092,192,56,44,87,13,2985,20,460,700,260,300,865,385,15205,5155,10050,12140,3065,1,806,1850,1065,2193,1887,306,2,1710
Gouda,GM0513,513,Gouda,Gemeente,GM0513,71189,34855,49,36334,51,12574,17.7,8405,11.8,17568,24.7,19983,28.1,12659,17.8,33368,46.9,28616,40.2,5673,8,3532,5,5840,8.2,11278,15.8,6896,9.7,417,0.6,911,1.3,461,0.6,2593,3.6,31768,11844,37.3,9054,28.5,10870,34.2,2.2,4232,31868,176,59,41,92,8,5100,20,835,1080,465,475,1530,695,27240,9200,18040,22790,4455,0.9,1620,2840,2260,1811,1682,129,2,2458
s-Gravenhage,GM0518,518,s-Gravenhage,Gemeente,GM0518,519988,257042,49.4,262946,50.6,91563,17.6,62989,12.1,160168,30.8,132008,25.4,73260,14.1,288806,55.5,160777,30.9,49920,9.6,20485,3.9,88381,17,181938,35,30540,5.9,12527,2.4,46695,9,39097,7.5,53079,10.2,255785,121379,47.5,54597,21.3,79809,31.2,2,6288,253210,188,21,79,85,15,46785,1555,7865,9160,3800,3660,14035,6710,179615,54905,124710,150075,29540,0.7,2172,17225,10180,9813,8269,1544,1,4794
Hardinxveld-Giessendam,GM0523,523,Hardinxveld-Giessendam,Gemeente,GM0523,17774,8896,50.1,8878,49.9,3495,19.7,2355,13.2,4214,23.7,4509,25.4,3201,18,7443,41.9,8666,48.8,718,4,947,5.3,576,3.2,495,2.8,78,0.4,26,0.1,26,0.1,28,0.2,337,1.9,6891,1873,27.2,2184,31.7,2834,41.1,2.6,1050,7131,217,75,25,87,13,1600,40,460,275,145,245,315,130,8255,2960,5290,7065,1190,1.2,488,1570,600,1935,1692,243,4,959
Hellevoetsluis,GM0530,530,Hellevoetsluis,Gemeente,GM0530,38634,19168,49.6,19466,50.4,6078,15.7,4185,10.8,9095,23.5,11953,30.9,7323,19,15679,40.6,17447,45.2,3568,9.2,1940,5,3508,9.1,3318,8.6,118,0.3,582,1.5,500,1.3,869,2.2,1249,3.2,17158,5355,31.2,5584,32.5,6219,36.2,2.2,1227,17305,190,73,27,88,12,2445,55,395,585,190,280,575,360,19450,7440,12010,16825,2625,1.1,618,1745,1600,4627,3149,1477,2,1569
Hendrik-Ido-Ambacht,GM0531,531,Hendrik-Ido-Ambacht,Gemeente,GM0531,29408,14529,49.4,14879,50.6,6018,20.5,3361,11.4,7524,25.6,7719,26.2,4786,16.3,12773,43.4,13685,46.5,1645,5.6,1305,4.4,1859,6.3,2143,7.3,307,1,195,0.7,377,1.3,285,1,979,3.3,11559,2862,24.8,3698,32,4999,43.2,2.5,2771,11725,215,76,24,67,33,2180,20,340,440,270,335,560,210,13425,5455,7970,11670,1755,1.2,1265,995,900,1190,1061,129,2,1732
Stede Broec,GM0532,532,Stede Broec,Gemeente,GM0532,21493,10826,50.4,10667,49.6,3688,17.2,2563,11.9,4944,23,6052,28.2,4246,19.8,9185,42.7,9821,45.7,1455,6.8,1032,4.8,1547,7.2,991,4.6,99,0.5,59,0.3,151,0.7,79,0.4,603,2.8,9003,2538,28.2,3049,33.9,3416,37.9,2.4,1477,9025,184,90,10,87,13,1365,90,340,285,80,125,290,155,9375,2580,6795,7805,1570,1,644,950,960,1637,1455,182,3,1117
Hillegom,GM0534,534,Hillegom,Gemeente,GM0534,21089,10453,49.6,10636,50.4,3403,16.1,2183,10.4,4956,23.5,6264,29.7,4283,20.3,9298,44.1,8948,42.4,1647,7.8,1196,5.7,2217,10.5,1277,6.1,248,1.2,81,0.4,94,0.4,91,0.4,763,3.6,9290,3056,32.9,2953,31.8,3281,35.3,2.2,1638,9398,224,70,30,87,13,1815,90,295,455,105,185,480,200,10710,3435,7275,9290,1415,1.2,832,1340,1055,1347,1287,59,2,1512
Katwijk,GM0537,537,Katwijk,Gemeente,GM0537,64239,31919,49.7,32320,50.3,12402,19.3,8226,12.8,15943,24.8,17013,26.5,10655,16.6,28590,44.5,29192,45.4,3380,5.3,3077,4.8,3586,5.6,3450,5.4,450,0.7,121,0.2,235,0.4,328,0.5,2316,3.6,25423,7541,29.7,7388,29.1,10494,41.3,2.5,2610,25814,245,59,41,83,17,4140,135,750,1215,265,485,830,460,24645,8550,16095,22275,2370,1,1001,3490,1970,3115,2461,654,2,2116
Krimpen aan den IJssel,GM0542,542,Krimpen aan den IJssel,Gemeente,GM0542,29054,14055,48.4,14999,51.6,5123,17.6,3412,11.7,5997,20.6,7833,27,6689,23,11896,40.9,13529,46.6,1770,6.1,1859,6.4,2116,7.3,2007,6.9,199,0.7,222,0.8,411,1.4,160,0.6,1015,3.5,12181,3596,29.5,4041,33.2,4544,37.3,2.3,3783,12318,215,72,28,87,13,2075,5,390,440,260,265,510,200,12970,4625,8345,11615,1360,1.1,1689,1245,1010,895,768,127,2,1920
Leerdam,GM0545,545,Leerdam,Gemeente,GM0545,20711,10181,49.2,10530,50.8,3624,17.5,2514,12.1,4980,24,5628,27.2,3965,19.1,9015,43.5,9144,44.2,1317,6.4,1235,6,1676,8.1,2909,14,354,1.7,22,0.1,95,0.5,1801,8.7,637,3.1,8495,2601,30.6,2564,30.2,3330,39.2,2.4,613,8757,208,71,29,87,13,1530,75,260,395,115,130,370,180,8920,2605,6320,7235,1690,1.1,264,1250,730,3442,3378,64,3,1249
Leiden,GM0546,546,Leiden,Gemeente,GM0546,122561,59625,48.6,62936,51.4,16876,13.8,22131,18.1,36168,29.5,30168,24.6,17218,14,72230,58.9,37236,30.4,8536,7,4559,3.7,17245,14.1,19256,15.7,5319,4.3,1278,1,1855,1.5,2236,1.8,8568,7,66793,36098,54,15242,22.8,15453,23.1,1.8,5580,56636,209,44,56,91,9,9115,15,1305,1875,905,660,2985,1365,38405,10985,27420,33785,4615,0.6,1748,3410,2935,2327,2197,130,1,3558
Leiderdorp,GM0547,547,Leiderdorp,Gemeente,GM0547,26968,13016,48.3,13952,51.7,4457,16.5,3065,11.4,5651,21,8095,30,5700,21.1,11855,44,11564,42.9,2035,7.5,1514,5.6,2769,10.3,2984,11.1,375,1.4,164,0.6,492,1.8,624,2.3,1329,4.9,12129,4223,34.8,3665,30.2,4241,35,2.2,2335,12016,240,60,40,91,9,1915,20,295,350,180,205,620,245,12970,5060,7910,11175,1795,1.1,1123,1175,965,1228,1155,72,2,2408
Lisse,GM0553,553,Lisse,Gemeente,GM0553,22606,11107,49.1,11499,50.9,3693,16.3,2509,11.1,5080,22.5,6643,29.4,4681,20.7,9729,43,9935,43.9,1636,7.2,1306,5.8,1875,8.3,977,4.3,78,0.3,33,0.1,111,0.5,45,0.2,710,3.1,9965,3225,32.4,3245,32.6,3495,35.1,2.3,1441,10080,243,69,31,88,12,1975,85,265,510,125,215,545,235,11170,3765,7410,9940,1235,1.1,712,1140,1020,1605,1569,36,2,1589
Maassluis,GM0556,556,Maassluis,Gemeente,GM0556,32292,15829,49,16463,51,5097,15.8,3511,10.9,7740,24,8892,27.5,7052,21.8,13722,42.5,14196,44,2503,7.8,1871,5.8,2662,8.2,5816,18,1303,4,529,1.6,641,2,2064,6.4,1279,4,14597,4972,34.1,4739,32.5,4886,33.5,2.2,3803,14938,184,49,51,86,14,1945,45,340,470,185,215,440,250,14265,4995,9265,12665,1600,1,1680,970,820,1012,849,163,2,1973
Nieuwkoop,GM0569,569,Nieuwkoop,Gemeente,GM0569,27433,13930,50.8,13503,49.2,4461,16.3,3342,12.2,5806,21.2,8609,31.4,5215,19,12367,45.1,12328,44.9,1497,5.5,1241,4.5,1518,5.5,997,3.6,277,1,53,0.2,120,0.4,19,0.1,528,1.9,11040,2933,26.6,3721,33.7,4386,39.7,2.4,350,10835,269,87,13,85,15,2800,355,625,495,185,270,595,270,14235,4440,9795,12140,2095,1.3,182,2640,1570,9116,7827,1289,5,477
Noordwijk,GM0575,575,Noordwijk,Gemeente,GM0575,25760,12908,50.1,12852,49.9,3850,14.9,2777,10.8,5993,23.3,7804,30.3,5336,20.7,12017,46.6,10329,40.1,2075,8.1,1339,5.2,2987,11.6,1241,4.8,268,1,86,0.3,94,0.4,54,0.2,739,2.9,11645,4318,37.1,3496,30,3831,32.9,2.1,720,12267,328,62,38,84,16,2720,85,335,665,185,380,760,310,12485,4435,8050,10865,1620,1.1,349,1200,945,5152,3578,1574,2,1517
Noordwijkerhout,GM0576,576,Noordwijkerhout,Gemeente,GM0576,16140,8097,50.2,8043,49.8,2582,16,1862,11.5,3611,22.4,4828,29.9,3257,20.2,7332,45.4,6787,42.1,1169,7.2,852,5.3,1668,10.3,664,4.1,79,0.5,51,0.3,64,0.4,13,0.1,457,2.8,6893,2197,31.9,2162,31.4,2534,36.8,2.3,715,6942,254,74,26,78,22,1585,195,250,415,95,115,360,155,7745,2555,5195,6845,905,1.1,343,1450,730,2342,2259,83,3,1054
Oegstgeest,GM0579,579,Oegstgeest,Gemeente,GM0579,23209,11161,48.1,12048,51.9,4233,18.2,2485,10.7,5094,21.9,6766,29.2,4631,20,10565,45.5,9706,41.8,1727,7.4,1211,5.2,3388,14.6,1733,7.5,134,0.6,113,0.5,246,1.1,115,0.5,1125,4.8,10160,3535,34.8,2944,29,3681,36.2,2.2,3180,10379,324,65,35,80,20,1720,10,145,280,125,230,735,195,10110,3275,6835,8800,1305,1,1385,555,575,797,730,67,2,1737
Oud-Beijerland,GM0584,584,Oud-Beijerland,Gemeente,GM0584,23851,11686,49,12165,51,4255,17.8,2776,11.6,5294,22.2,6972,29.2,4554,19.1,9945,41.7,10956,45.9,1683,7.1,1267,5.3,1402,5.9,943,4,78,0.3,66,0.3,144,0.6,33,0.1,622,2.6,9807,2731,27.8,3166,32.3,3910,39.9,2.4,1273,9940,221,80,20,83,17,1995,25,265,525,140,340,475,220,11735,4675,7060,9885,1850,1.2,626,1160,845,1961,1873,88,3,1375
Binnenmaas,GM0585,585,Binnenmaas,Gemeente,GM0585,28771,14263,49.6,14508,50.4,4647,16.2,2879,10,6335,22,8597,29.9,6313,21.9,11259,39.1,14011,48.7,1858,6.5,1643,5.7,1441,5,950,3.3,43,0.1,82,0.3,167,0.6,38,0.1,620,2.2,12324,3414,27.7,4548,36.9,4362,35.4,2.3,415,12608,226,84,16,85,15,2485,130,425,520,230,380,530,270,15290,5835,9455,13050,2240,1.2,221,2085,1270,7557,6930,627,4,652
Korendijk,GM0588,588,Korendijk,Gemeente,GM0588,10825,5377,49.7,5448,50.3,1917,17.7,1250,11.5,2242,20.7,3273,30.2,2143,19.8,4386,40.5,5220,48.2,663,6.1,556,5.1,446,4.1,216,2,17,0.2,26,0.2,26,0.2,0,0,147,1.4,4378,1113,25.4,1598,36.5,1667,38.1,2.4,142,4457,221,92,8,89,11,950,120,190,200,55,110,190,85,5615,1845,3775,4685,930,1.3,74,865,520,10047,7615,2432,5,316
Oudewater,GM0589,589,Oudewater,Gemeente,GM0589,10049,4931,49.1,5118,50.9,1747,17.4,1241,12.3,2173,21.6,2891,28.8,1997,19.9,4672,46.5,4204,41.8,575,5.7,598,6,445,4.4,325,3.2,66,0.7,15,0.1,33,0.3,8,0.1,203,2,4112,1251,30.4,1260,30.6,1601,38.9,2.4,257,4270,274,81,19,86,14,1190,125,250,250,65,135,250,110,4845,1585,3260,3975,870,1.2,124,1190,450,4010,3907,103,4,847
Papendrecht,GM0590,590,Papendrecht,Gemeente,GM0590,32248,15877,49.2,16371,50.8,5481,17,3697,11.5,7422,23,8976,27.8,6672,20.7,13174,40.9,14838,46,2512,7.8,1724,5.3,2613,8.1,2842,8.8,428,1.3,330,1,511,1.6,357,1.1,1216,3.8,13963,4206,30.1,4558,32.6,5199,37.2,2.3,3425,14251,188,66,34,86,14,2220,15,380,495,205,305,550,270,15260,6125,9135,13230,2030,1.1,1621,1590,1020,1079,941,138,2,1892
Ridderkerk,GM0597,597,Ridderkerk,Gemeente,GM0597,45097,21801,48.3,23296,51.7,6589,14.6,4947,11,9735,21.6,13028,28.9,10798,23.9,18099,40.1,20794,46.1,3136,7,3068,6.8,3501,7.8,4251,9.4,514,1.1,406,0.9,717,1.6,715,1.6,1899,4.2,20298,6761,33.3,6771,33.4,6766,33.3,2.2,1902,20680,186,56,44,89,11,3515,75,625,880,385,475,720,355,21990,8510,13480,19245,2745,1.1,927,2790,1605,2526,2372,155,2,1705
Rotterdam,GM0599,599,Rotterdam,Gemeente,GM0599,629606,310200,49.3,319406,50.7,103138,16.4,84780,13.5,191543,30.4,155144,24.6,95001,15.1,350797,55.7,188873,30,61648,9.8,28288,4.5,76908,12.2,236689,37.6,43064,6.8,23859,3.8,52584,8.4,47778,7.6,69404,11,318219,152561,47.9,71711,22.5,93947,29.5,2,2920,311168,148,25,75,89,11,52930,325,6795,11590,5840,4660,15845,7875,216050,68265,147785,179415,36635,0.7,1002,23500,12000,32416,21564,10852,1,3968
Rijswijk,GM0603,603,Rijswijk,Gemeente,GM0603,49328,23393,47.4,25935,52.6,7221,14.6,4521,9.2,12736,25.8,13585,27.5,11265,22.8,22629,45.9,18581,37.7,4787,9.7,3331,6.8,7436,15.1,8649,17.5,1399,2.8,663,1.3,2155,4.4,651,1.3,3781,7.7,25012,10890,43.5,7127,28.5,6995,28,1.9,3511,25606,181,27,73,92,8,4005,35,615,805,410,400,1260,475,26470,11795,14675,21505,4970,1.1,1884,1715,1475,1449,1405,44,1,3157
Schiedam,GM0606,606,Schiedam,Gemeente,GM0606,77108,38026,49.3,39082,50.7,12551,16.3,9369,12.2,20945,27.2,21141,27.4,13102,17,37974,49.2,28113,36.5,6853,8.9,4168,5.4,8976,11.6,21557,28,2567,3.3,1883,2.4,2944,3.8,7761,10.1,6402,8.3,36406,14670,40.3,9400,25.8,12336,33.9,2.1,4282,36751,146,30,70,91,9,5450,85,1195,1265,450,455,1295,705,28875,9710,19165,24785,4090,0.8,1604,3225,1950,1986,1801,185,1,3269
Sliedrecht,GM0610,610,Sliedrecht,Gemeente,GM0610,24968,12293,49.2,12675,50.8,4586,18.4,2974,11.9,6309,25.3,6341,25.4,4758,19.1,10913,43.7,11194,44.8,1471,5.9,1390,5.6,1187,4.8,2133,8.5,171,0.7,202,0.8,141,0.6,597,2.4,1022,4.1,10262,3309,32.2,3162,30.8,3791,36.9,2.3,1946,10722,174,61,39,85,15,1820,10,380,455,175,260,385,160,10880,4105,6775,9220,1660,1.1,848,1390,690,1401,1283,118,2,1620
Cromstrijen,GM0611,611,Cromstrijen,Gemeente,GM0611,12755,6333,49.7,6422,50.3,1952,15.3,1393,10.9,2569,20.1,4021,31.5,2820,22.1,4906,38.5,6281,49.2,871,6.8,697,5.5,558,4.4,318,2.5,6,0,18,0.1,57,0.4,8,0.1,229,1.8,5456,1471,27,2028,37.2,1957,35.9,2.3,234,5622,230,85,15,88,12,1265,90,190,335,100,175,240,130,6980,2695,4290,5785,1195,1.3,128,1090,575,7033,5443,1590,4,654
Albrandswaard,GM0613,613,Albrandswaard,Gemeente,GM0613,24985,12424,49.7,12561,50.3,4752,19,2571,10.3,5907,23.6,7688,30.8,4067,16.3,11147,44.6,11010,44.1,1784,7.1,1044,4.2,1878,7.5,2940,11.8,234,0.9,292,1.2,1040,4.2,443,1.8,931,3.7,10022,2570,25.6,3084,30.8,4368,43.6,2.4,1150,10208,248,81,19,67,33,1925,35,240,340,260,270,570,210,12100,5370,6725,10340,1760,1.2,557,1085,955,2376,2173,203,3,1012
Westvoorne,GM0614,614,Westvoorne,Gemeente,GM0614,14197,7030,49.5,7167,50.5,1954,13.8,1436,10.1,2539,17.9,4639,32.7,3629,25.6,5170,36.4,6926,48.8,1052,7.4,1049,7.4,1003,7.1,518,3.6,18,0.1,85,0.6,62,0.4,23,0.2,330,2.3,6417,2002,31.2,2383,37.1,2032,31.7,2.2,267,6732,292,82,18,81,19,1375,115,165,295,75,250,315,165,8140,3095,5045,6900,1235,1.3,153,890,750,9748,5315,4433,4,633
Strijen,GM0617,617,Strijen,Gemeente,GM0617,8766,4340,49.5,4426,50.5,1202,13.7,1060,12.1,1837,21,2831,32.3,1836,20.9,3481,39.7,4207,48,600,6.8,478,5.5,432,4.9,270,3.1,25,0.3,25,0.3,47,0.5,10,0.1,163,1.9,3774,1034,27.4,1392,36.9,1348,35.7,2.3,174,3908,214,83,17,91,9,895,95,145,225,55,105,185,85,4645,1630,3015,3950,700,1.2,92,700,485,5770,5026,744,4,608
Vianen,GM0620,620,Vianen,Gemeente,GM0620,19513,9614,49.3,9899,50.7,3385,17.3,2229,11.4,4501,23.1,5573,28.6,3825,19.6,8519,43.7,8659,44.4,1296,6.6,1039,5.3,1227,6.3,1885,9.7,718,3.7,88,0.5,290,1.5,191,1,598,3.1,8077,2228,27.6,2607,32.3,3242,40.1,2.4,498,8252,216,81,19,87,13,1780,75,370,365,180,165,440,175,12840,6205,6635,9315,3525,1.6,328,1950,965,4239,3917,322,4,909
Vlaardingen,GM0622,622,Vlaardingen,Gemeente,GM0622,71808,34989,48.7,36819,51.3,11411,15.9,8091,11.3,18029,25.1,19424,27,14853,20.7,32677,45.5,28314,39.4,6315,8.8,4502,6.3,6636,9.2,13927,19.4,1915,2.7,1613,2.2,1475,2.1,4800,6.7,4124,5.7,34155,13606,39.8,9561,28,10988,32.2,2.1,3038,34768,159,37,63,93,7,4285,65,830,1050,390,365,1000,580,29400,9970,19430,26055,3340,0.9,1244,2795,1975,2669,2364,305,1,2763
Voorschoten,GM0626,626,Voorschoten,Gemeente,GM0626,25211,12106,48,13105,52,4551,18.1,2597,10.3,5310,21.1,7158,28.4,5595,22.2,11221,44.5,10749,42.6,1821,7.2,1420,5.6,3172,12.6,2123,8.4,363,1.4,128,0.5,277,1.1,201,0.8,1154,4.6,10913,3487,32,3408,31.2,4018,36.8,2.3,2258,11210,284,65,35,84,16,1845,20,260,380,130,185,625,245,11350,3550,7800,10100,1250,1,1016,725,885,1156,1117,39,2,1812
Waddinxveen,GM0627,627,Waddinxveen,Gemeente,GM0627,26072,12965,49.7,13107,50.3,4452,17.1,3119,12,6089,23.4,7369,28.3,5043,19.3,11017,42.3,12102,46.4,1641,6.3,1312,5,1888,7.2,2136,8.2,749,2.9,129,0.5,187,0.7,298,1.1,773,3,10943,3208,29.3,3692,33.7,4043,36.9,2.4,933,11248,202,66,34,91,9,2235,115,375,510,190,310,520,215,12760,5010,7750,10905,1855,1.2,456,1850,1225,2940,2796,144,2,1533
Wassenaar,GM0629,629,Wassenaar,Gemeente,GM0629,25885,12234,47.3,13651,52.7,4514,17.4,2667,10.3,4454,17.2,7779,30.1,6471,25,10700,41.3,11501,44.4,1960,7.6,1724,6.7,5700,22,2674,10.3,118,0.5,181,0.7,243,0.9,113,0.4,2019,7.8,11485,4069,35.4,3452,30.1,3964,34.5,2.2,506,12213,478,72,28,93,7,2540,35,250,465,150,475,900,260,14130,4870,9260,11790,2340,1.2,276,990,695,6240,5116,1124,3,1439
Woerden,GM0632,632,Woerden,Gemeente,GM0632,51161,25276,49.4,25885,50.6,9650,18.9,5925,11.6,12192,23.8,14565,28.5,8829,17.3,24173,47.2,21447,41.9,3204,6.3,2337,4.6,3348,6.5,3775,7.4,1370,2.7,160,0.3,487,1,204,0.4,1554,3,21187,6510,30.7,6403,30.2,8274,39.1,2.4,573,21403,247,73,27,84,16,4995,270,835,1055,375,555,1425,480,23375,8240,15135,19055,4320,1.1,262,3265,1965,9292,8924,368,3,1325
Zoetermeer,GM0637,637,Zoetermeer,Gemeente,GM0637,124107,60606,48.8,63501,51.2,21317,17.2,14812,11.9,30698,24.7,36653,29.5,20627,16.6,57866,46.6,49313,39.7,11632,9.4,5296,4.3,13419,10.8,23921,19.3,2237,1.8,2744,2.2,8505,6.9,1208,1,9227,7.4,55116,18427,33.4,15804,28.7,20885,37.9,2.2,3597,55377,186,57,43,81,19,8135,65,1075,1835,890,630,2540,1100,55200,19765,35430,48220,6980,1,1600,3740,4000,3705,3451,254,2,2486
Zoeterwoude,GM0638,638,Zoeterwoude,Gemeente,GM0638,8119,4040,49.8,4079,50.2,1211,14.9,1029,12.7,1611,19.8,2644,32.6,1624,20,3627,44.7,3608,44.4,468,5.8,416,5.1,508,6.3,409,5,26,0.3,24,0.3,81,1,51,0.6,227,2.8,3252,897,27.6,1093,33.6,1262,38.8,2.4,382,3365,273,78,22,91,9,815,60,160,185,65,90,180,75,3865,1210,2655,3320,550,1.2,182,800,420,2196,2126,70,4,702
