gm_naam,gwb_code_10,gwb_code_8,regio,recs,gwb_code,a_inw,a_man,p_man,a_vrouw,p_vrouw,a_00_14,p_00_14,a_15_24,p_15_24,a_25_44,p_25_44,a_45_64,p_45_64,a_65_oo,p_65_oo,a_ongeh,p_ongeh,a_gehuwd,p_gehuwd,a_gesch,p_gesch,a_verwed,p_verwed,a_w_all,p_w_all,a_nw_all,p_nw_all,a_marok,p_marok,a_antaru,p_antaru,a_suri,p_suri,a_tur,p_tur,a_ov_nw,p_ov_nw,a_hh,a_1p_hh,p_1p_hh,a_hh_z_k,p_hh_z_k,a_hh_m_k,p_hh_m_k,g_hhgro,bev_dich,a_woning,g_woz,p_1gezw,p_mgezw,p_bjj2k,p_bjo2k,a_bedv,a_bed_a,a_bed_bf,a_bed_gi,a_bed_hj,a_bed_kl,a_bed_mn,a_bed_ru,a_pau,a_lftj6j,a_lfto6j,a_bst_b,a_bst_nb,g_pau_hh,g_pau_km,a_bau,a_m2w,a_opp_ha,a_lan_ha,a_wat_ha,ste_mvs,ste_oad
Rozendaal,GM0277,277,Rozendaal,Gemeente,GM0277,1498,737,49.2,761,50.8,258,17.2,141,9.4,204,13.6,485,32.4,410,27.4,530,35.4,818,54.6,68,4.5,82,5.5,148,9.9,64,4.3,0,0,13,0.9,16,1.1,0,0,35,2.3,637,142,22.3,274,43,221,34.7,2.4,54,635,453,98,2,97,3,160,0,15,20,5,35,70,15,865,315,550,665,200,1.4,31,55,70,2792,2790,2,4,889
Scherpenzeel,GM0279,279,Scherpenzeel,Gemeente,GM0279,9529,4705,49.4,4824,50.6,1898,19.9,1263,13.3,2259,23.7,2383,25,1726,18.1,4187,43.9,4344,45.6,471,4.9,527,5.5,396,4.2,230,2.4,42,0.4,10,0.1,15,0.2,6,0.1,157,1.6,3695,1068,28.9,1102,29.8,1525,41.3,2.5,691,3725,255,87,13,85,15,890,60,200,180,50,135,180,85,4605,1340,3265,3885,720,1.2,334,890,430,1381,1379,3,4,860
Tiel,GM0281,281,Tiel,Gemeente,GM0281,41510,20656,49.8,20854,50.2,7192,17.3,5104,12.3,10468,25.2,11929,28.7,6817,16.4,18886,45.5,17162,41.3,3435,8.3,2027,4.9,3653,8.8,6403,15.4,2081,5,164,0.4,251,0.6,2373,5.7,1534,3.7,17663,5700,32.3,5151,29.2,6812,38.6,2.3,1262,17682,190,74,26,88,12,3225,75,520,865,280,280,835,375,21555,8490,13065,16140,5415,1.2,655,3355,1540,3551,3289,263,3,1409
Voorst,GM0285,285,Voorst,Gemeente,GM0285,23984,11981,50,12003,50,3818,15.9,2664,11.1,4593,19.2,7605,31.7,5304,22.1,10353,43.2,10952,45.7,1275,5.3,1404,5.9,1156,4.8,665,2.8,10,0,39,0.2,39,0.2,220,0.9,357,1.5,9794,2624,26.8,3620,37,3550,36.2,2.4,195,10174,254,84,16,85,15,2170,290,320,465,135,250,495,220,12475,3230,9245,10090,2380,1.3,101,1895,1295,12647,12308,338,4,578
Wageningen,GM0289,289,Wageningen,Gemeente,GM0289,37837,18225,48.2,19612,51.8,4842,12.8,8506,22.5,10111,26.7,8594,22.7,5784,15.3,22283,58.9,11611,30.7,2214,5.9,1729,4.6,4948,13.1,4449,11.8,338,0.9,124,0.3,288,0.8,174,0.5,3525,9.3,21493,12603,58.6,4726,22,4164,19.4,1.7,1244,19648,235,41,59,83,17,2530,50,255,460,220,245,920,380,12735,3425,9310,10510,2225,0.6,419,1045,885,3236,3042,194,2,2141
Westervoort,GM0293,293,Westervoort,Gemeente,GM0293,15001,7313,48.8,7688,51.2,2302,15.3,1763,11.8,3324,22.2,5109,34.1,2503,16.7,6336,42.2,6573,43.8,1360,9.1,732,4.9,1415,9.4,1141,7.6,91,0.6,85,0.6,146,1,217,1.4,602,4,6540,1900,29.1,2120,32.4,2520,38.5,2.3,2135,6578,172,87,13,92,8,885,10,165,210,85,65,215,135,7150,2005,5140,6105,1040,1.1,1017,560,755,784,703,81,3,1139
Winterswijk,GM0294,294,Winterswijk,Gemeente,GM0294,28939,14448,49.9,14491,50.1,4598,15.9,3206,11.1,6187,21.4,8769,30.3,6179,21.4,12741,44,12424,42.9,1882,6.5,1892,6.5,2535,8.8,1670,5.8,176,0.6,31,0.1,59,0.2,449,1.6,955,3.3,12652,4161,32.9,4180,33,4311,34.1,2.2,210,12891,169,77,23,90,10,2405,325,410,655,105,260,410,235,13745,3210,10535,11735,2010,1.1,100,1815,1235,13882,13795,86,3,1176
Wijchen,GM0296,296,Wijchen,Gemeente,GM0296,40814,20191,49.5,20623,50.5,6880,16.9,4569,11.2,9058,22.2,12575,30.8,7732,18.9,17843,43.7,17988,44.1,2867,7,2116,5.2,3038,7.4,1784,4.4,198,0.5,221,0.5,201,0.5,271,0.7,893,2.2,17199,4957,28.8,5579,32.4,6663,38.7,2.3,616,17518,221,83,17,84,16,3355,145,630,745,235,375,805,415,20635,6375,14260,16810,3825,1.2,312,2770,1650,6956,6621,335,3,1190
Zaltbommel,GM0297,297,Zaltbommel,Gemeente,GM0297,27543,13818,50.2,13725,49.8,5429,19.7,3442,12.5,6408,23.3,7567,27.5,4697,17.1,12257,44.5,12371,44.9,1598,5.8,1317,4.8,1668,6.1,1491,5.4,800,2.9,50,0.2,51,0.2,31,0.1,559,2,10809,2917,27,3376,31.2,4516,41.8,2.5,346,10985,228,88,12,82,18,2930,305,565,615,250,265,690,245,13800,4280,9515,10210,3585,1.3,173,2600,1075,8904,7961,943,4,661
Zevenaar,GM0299,299,Zevenaar,Gemeente,GM0299,32269,15789,48.9,16480,51.1,4939,15.3,3313,10.3,7141,22.1,9449,29.3,7427,23,13475,41.8,14201,44,2589,8,2004,6.2,3297,10.2,1498,4.6,35,0.1,97,0.3,236,0.7,554,1.7,576,1.8,14607,4723,32.3,5040,34.5,4844,33.2,2.2,606,14677,182,81,19,89,11,2305,110,325,580,175,250,565,300,16515,4985,11535,13795,2720,1.1,310,1605,1505,5800,5327,473,3,1254
Zutphen,GM0301,301,Zutphen,Gemeente,GM0301,46997,22993,48.9,24004,51.1,7801,16.6,5196,11.1,10649,22.7,14197,30.2,9154,19.5,21719,46.2,18272,38.9,4530,9.6,2476,5.3,4031,8.6,3570,7.6,300,0.6,205,0.4,278,0.6,1460,3.1,1327,2.8,21506,8118,37.7,6302,29.3,7086,32.9,2.1,1147,21698,180,68,32,86,14,3425,60,400,875,270,315,990,515,20100,5470,14630,16505,3590,0.9,491,1835,1655,4293,4096,197,2,1613
Nunspeet,GM0302,302,Nunspeet,Gemeente,GM0302,26835,13251,49.4,13584,50.6,5041,18.8,3433,12.8,5964,22.2,7280,27.1,5117,19.1,11206,41.8,12822,47.8,1361,5.1,1446,5.4,943,3.5,760,2.8,82,0.3,23,0.1,44,0.2,53,0.2,558,2.1,10416,2919,28,3363,32.3,4134,39.7,2.5,208,10449,253,83,17,85,15,2405,165,505,610,155,295,470,205,12795,3345,9450,10330,2460,1.2,99,2165,985,12953,12879,74,4,736
Dronten,GM0303,303,Dronten,Gemeente,GM0303,40592,20501,50.5,20091,49.5,7204,17.7,5760,14.2,9378,23.1,11623,28.6,6627,16.3,18116,44.6,18096,44.6,2699,6.6,1681,4.1,2947,7.3,3213,7.9,444,1.1,204,0.5,322,0.8,555,1.4,1688,4.2,17070,5286,31,5480,32.1,6304,36.9,2.3,122,16495,191,88,12,78,22,3605,565,495,840,255,335,780,340,20010,6400,13610,14585,5425,1.2,60,2620,1755,42389,33370,9020,4,762
Neerijnen,GM0304,304,Neerijnen,Gemeente,GM0304,12122,6123,50.5,5999,49.5,2380,19.6,1422,11.7,2674,22.1,3605,29.7,2041,16.8,5277,43.5,5581,46,651,5.4,613,5.1,559,4.6,338,2.8,86,0.7,12,0.1,27,0.2,3,0,210,1.7,4661,1101,23.6,1581,33.9,1979,42.5,2.6,184,4786,261,95,5,86,14,1490,220,300,265,130,145,305,125,6625,2115,4510,4935,1690,1.4,100,1785,635,7290,6599,692,5,193
Amersfoort,GM0307,307,Amersfoort,Gemeente,GM0307,153602,75569,49.2,78033,50.8,30174,19.6,17704,11.5,42470,27.6,42076,27.4,21178,13.8,77371,50.4,58247,37.9,11904,7.7,6080,4,13423,8.7,22841,14.9,4915,3.2,1770,1.2,1698,1.1,6176,4,8282,5.4,66538,23818,35.8,17456,26.2,25264,38,2.3,2447,65289,223,64,36,80,20,13380,80,1345,2635,1375,1320,4720,1900,98850,56035,42820,62560,36290,1.5,1575,13985,5625,6386,6277,109,2,2242
Baarn,GM0308,308,Baarn,Gemeente,GM0308,24521,11826,48.2,12695,51.8,3942,16.1,2439,9.9,5222,21.3,7459,30.4,5459,22.3,11215,45.7,9613,39.2,2150,8.8,1543,6.3,2288,9.3,1808,7.4,229,0.9,132,0.5,124,0.5,449,1.8,874,3.6,11001,4154,37.8,3338,30.3,3509,31.9,2.1,754,11586,281,67,33,93,7,2810,25,360,475,250,325,1025,350,11835,3515,8315,9805,2025,1.1,364,985,940,3301,3254,47,2,1604
De Bilt,GM0310,310,De Bilt,Gemeente,GM0310,42375,20225,47.7,22150,52.3,7225,17.1,4494,10.6,8127,19.2,12601,29.7,9928,23.4,18942,44.7,17382,41,3216,7.6,2835,6.7,4053,9.6,3041,7.2,911,2.1,149,0.4,369,0.9,147,0.3,1465,3.5,18997,7017,36.9,5646,29.7,6334,33.3,2.2,641,19260,329,65,35,94,6,4325,110,490,640,365,605,1620,490,20610,6245,14365,17045,3565,1.1,312,2070,1420,6713,6613,100,3,1234
Bunnik,GM0312,312,Bunnik,Gemeente,GM0312,14773,7304,49.4,7469,50.6,2680,18.1,1508,10.2,2951,20,4468,30.2,3166,21.4,6498,44,6651,45,834,5.6,790,5.3,1136,7.7,684,4.6,79,0.5,81,0.5,98,0.7,14,0.1,412,2.8,6325,1938,30.6,2095,33.1,2292,36.2,2.3,400,6269,276,84,16,86,14,1555,95,215,240,120,165,530,190,7050,2315,4735,5715,1335,1.1,191,855,550,3757,3697,60,4,651
